run,profile,board,layout,optimization,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_line_stage_walk,35796,36746,3.72,3.82,5c603aa8
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,empty_callback,2,33,0.00,0.00,ea306fb5
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,mod_plane_2x_center,66567,69017,6.93,7.18,61d42d20
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_1_voice,52111,53724,5.42,5.59,1816acc1
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2_voices,91220,92897,9.50,9.67,4dc805b7
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_4_voices,164545,167679,17.14,17.46,2292dae2
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2x4,329986,335015,34.37,34.89,0d15b5eb
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,wave_2x4,285935,292267,29.78,30.44,6f28f4ea
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_none,21722,22651,2.26,2.35,b538ce01
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_grit,45882,46906,4.77,4.88,74f9b9f5
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_flux_sdram,103092,111716,10.73,11.63,9ca91007
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_comp,29106,30168,3.03,3.14,47a4392b
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,oliverb_solo_sram,95611,97300,9.95,10.13,82d044c4
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_init,639292,747659,66.59,77.88,8e9a0dbf
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_worst,981888,1043418,102.28,108.68,7d827e50
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,inst_worst_deck_bus,737373,783535,76.80,81.61,aa8ee611
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_worst_bbd,909094,951217,94.69,99.08,6d20538d
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,instrument_worst_bbd_dtcm,900689,939196,93.82,97.83,6d20538d
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,inst_bbd_engine_worst,909103,954645,94.69,99.44,6d20538d
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_ceiling,51910,54279,5.40,5.65,7f70a86d
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_line_only,33751,35228,3.51,3.66,e69ddb3b
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_line_tap,32854,33795,3.42,3.52,b9c14970
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_line_tap_half,24135,25093,2.51,2.61,adcd93a1
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_walk_sdram,1015,4111,0.10,0.42,7728ad1a
2,regress,patch_sm,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,bbd,bbd_line_stage_walk,35798,36728,3.72,3.82,5c603aa8
