run,profile,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_ceiling,53897,55176,5.61,5.74,80dc5673
1,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_line_only,35388,35862,3.68,3.73,6cc775c9
1,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_walk_sdram,916,3062,0.09,0.31,7728ad1a
2,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_ceiling,53878,55208,5.61,5.75,80dc5673
2,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_line_only,35375,35942,3.68,3.74,6cc775c9
2,bbd,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,bbd,bbd_walk_sdram,936,3230,0.09,0.33,7728ad1a
