run,profile,board,layout,optimization,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,empty_callback,2,12,0.00,0.00,ea306fb5
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,mod_plane_2x_center,79513,82722,8.28,8.61,5af19015
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_1_voice,54273,55800,5.65,5.81,1816acc1
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2_voices,94436,96566,9.83,10.05,4dc805b7
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_4_voices,170165,172738,17.72,17.99,2292dae2
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,synth_2x4,341292,346278,35.55,36.07,0d15b5eb
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,wave_2x4,319846,323229,33.31,33.66,6f28f4ea
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_none,24510,25452,2.55,2.65,b538ce01
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_grit,50874,52157,5.29,5.43,74f9b9f5
1,feed,patch_sm,axi,o2,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,26696514052c2c6aaf668d4a6c74569bd9a563f769dae106012dd024791f2849,system,fx_flux_sdram,98933,102041,10.30,10.62,9ca91007
